"id","youtubeUrl","status","percent","startedAt","finishedAt","transcriptPath","bulletPath","summaryPath","sceneFactsPath","whisperModel","asrDevice","vlDevice","vlModel","sceneThresh","enableOcr","frames","bulletCount","transcriptWord","summaryWord","timeDownloadSec","timeSpeechtoTextSec","timeCaptionImageSec","timeSummarizeSec","timeTotal","durationSec","errorMessage","keyword","userId","whisperTemp"
"021c4a20-ccc7-4b51-bb6e-bbeb61818590","https://youtu.be/uIqnZNua8kk?si=OsuCVQU3dCtMXU8B","DONE","100","2026-01-09 14:22:26.116","2026-01-09 14:31:59.881","/app/outputs/6/021c4a20-ccc7-4b51-bb6e-bbeb61818590/transcription.txt","/app/outputs/6/021c4a20-ccc7-4b51-bb6e-bbeb61818590/dropdown_list.txt","/app/outputs/6/021c4a20-ccc7-4b51-bb6e-bbeb61818590/summary.txt","/app/outputs/6/021c4a20-ccc7-4b51-bb6e-bbeb61818590/scene_facts.json","large-v3-turbo","cpu","cpu","microsoft/Florence-2-base","0.6","false","0","1","2165","206","41.41","401.39","114.19","12.45","569.45","1540.48",,"ความสุข","6","0.6"
"304a9c68-5015-420c-962d-d40bf5b09be9","https://youtu.be/l2a03-XuSnI?si=nOerqbAwpTKy_5v8","RUNNING","95","2026-01-09 14:02:22.991","2026-01-09 14:13:31.172","/app/outputs/6/304a9c68-5015-420c-962d-d40bf5b09be9/transcription.txt","/app/outputs/6/304a9c68-5015-420c-962d-d40bf5b09be9/dropdown_list.txt","/app/outputs/6/304a9c68-5015-420c-962d-d40bf5b09be9/summary.txt","/app/outputs/6/304a9c68-5015-420c-962d-d40bf5b09be9/scene_facts.json","large-v3-turbo","cpu","cpu","microsoft/Florence-2-base","0.6","false","10","1","5297","543","11.72","589.42","47.79","16.52","665.49","1568.09",,"โซนออกกำลังกาย","6","0.6"
"5edc28ed-35af-437c-9882-92b7d81af6e6","https://youtu.be/HSS8E_AsJ_8?si=Mxy7QIk4xZcwnAKv","DONE","100","2026-01-09 13:49:33.88","2026-01-09 14:02:21.638","/app/outputs/6/5edc28ed-35af-437c-9882-92b7d81af6e6/transcription.txt","/app/outputs/6/5edc28ed-35af-437c-9882-92b7d81af6e6/dropdown_list.txt","/app/outputs/6/5edc28ed-35af-437c-9882-92b7d81af6e6/summary.txt","/app/outputs/6/5edc28ed-35af-437c-9882-92b7d81af6e6/scene_facts.json","large-v3-turbo","cpu","cpu","microsoft/Florence-2-base","0.6","false","7","1","3015","182","214.86","395.31","139.15","15.74","765.07","1520.37",,"Bodyweight","6","0.6"
"849b0fbb-019a-4168-a18c-eee46b11349a","https://youtu.be/1rgDQwvziWQ?si=vZg3Dw5saFxsAIN9","DONE","100","2026-01-09 13:36:24.971","2026-01-09 13:49:32.827","/app/outputs/6/849b0fbb-019a-4168-a18c-eee46b11349a/transcription.txt","/app/outputs/6/849b0fbb-019a-4168-a18c-eee46b11349a/dropdown_list.txt","/app/outputs/6/849b0fbb-019a-4168-a18c-eee46b11349a/summary.txt","/app/outputs/6/849b0fbb-019a-4168-a18c-eee46b11349a/scene_facts.json","large-v3-turbo","cpu","cpu","microsoft/Florence-2-base","0.6","false","2","1","4911","228","111.31","620.06","32.55","17.26","781.21","1250.09",,"การออกกำลังกาย","6","0.6"
"eb5f683c-f257-42f4-bce2-1a5df05cc496","https://youtu.be/5vWBWstMoRI?si=CVH_NaycAXQcMeyd","RUNNING","99","2026-01-09 13:16:23.697","2026-01-09 13:24:20.655","/app/outputs/6/eb5f683c-f257-42f4-bce2-1a5df05cc496/transcription.txt","/app/outputs/6/eb5f683c-f257-42f4-bce2-1a5df05cc496/dropdown_list.txt","/app/outputs/6/eb5f683c-f257-42f4-bce2-1a5df05cc496/summary.txt","/app/outputs/6/eb5f683c-f257-42f4-bce2-1a5df05cc496/scene_facts.json","large-v3-turbo","cpu","cpu","microsoft/Florence-2-base","0.6","false","0","1","1773","482","21.57","285.25","150.02","17.39","474.24","1236.21",,"ออกกำลังกาย","6","0.6"
"074b1517-9816-468b-9a41-f2f098ef1f8e","https://youtu.be/vvV9Pdi1-vk?si=WbMK2m8Q9YykiFKV","DONE","100","2026-01-09 13:06:40.72","2026-01-09 13:16:20.511","/app/outputs/6/074b1517-9816-468b-9a41-f2f098ef1f8e/transcription.txt","/app/outputs/6/074b1517-9816-468b-9a41-f2f098ef1f8e/dropdown_list.txt","/app/outputs/6/074b1517-9816-468b-9a41-f2f098ef1f8e/summary.txt","/app/outputs/6/074b1517-9816-468b-9a41-f2f098ef1f8e/scene_facts.json","large-v3-turbo","cpu","cpu","microsoft/Florence-2-base","0.6","false","8","1","3698","508","17.73","458.8","90.01","10.57","577.14","1150.94",,"อาหารเช้า","6","0.6"
"c4c485ed-f661-44fa-8c14-093111b00008","https://youtu.be/V-sYzrwXFew?si=wKLkjEiFaxerzbql","DONE","100","2026-01-09 13:01:20.586","2026-01-09 13:06:35.774","/app/outputs/6/c4c485ed-f661-44fa-8c14-093111b00008/transcription.txt","/app/outputs/6/c4c485ed-f661-44fa-8c14-093111b00008/dropdown_list.txt","/app/outputs/6/c4c485ed-f661-44fa-8c14-093111b00008/summary.txt","/app/outputs/6/c4c485ed-f661-44fa-8c14-093111b00008/scene_facts.json","large-v3-turbo","cpu","cpu","microsoft/Florence-2-base","0.6","false","1","1","2017","461","17.83","247.8","32.52","14.29","312.46","924.6",,"เบิร์น","6","0.6"
"f83c1636-02f4-42b3-904a-52d98222f31c","https://youtu.be/0J7D21OEbC4?si=nWCTWs3bKSRfK-Rj","DONE","100","2026-01-09 12:56:42.677","2026-01-09 13:01:18.851","/app/outputs/6/f83c1636-02f4-42b3-904a-52d98222f31c/transcription.txt","/app/outputs/6/f83c1636-02f4-42b3-904a-52d98222f31c/dropdown_list.txt","/app/outputs/6/f83c1636-02f4-42b3-904a-52d98222f31c/summary.txt","/app/outputs/6/f83c1636-02f4-42b3-904a-52d98222f31c/scene_facts.json","large-v3-turbo","cpu","cpu","microsoft/Florence-2-base","0.6","false","1","1","1025","61","11.95","223.7","29.39","8.32","273.38","937.34",,"ออกกำลังกาย","6","0.6"
"b7aa2cb1-8851-40f0-9b9d-3afc3528fa11","https://youtu.be/8jcVQ_019ek?si=zN7Rkh_sJp8FsTm8","DONE","100","2026-01-09 12:48:11.814","2026-01-09 12:56:40.708","/app/outputs/6/b7aa2cb1-8851-40f0-9b9d-3afc3528fa11/transcription.txt","/app/outputs/6/b7aa2cb1-8851-40f0-9b9d-3afc3528fa11/dropdown_list.txt","/app/outputs/6/b7aa2cb1-8851-40f0-9b9d-3afc3528fa11/summary.txt","/app/outputs/6/b7aa2cb1-8851-40f0-9b9d-3afc3528fa11/scene_facts.json","large-v3-turbo","cpu","cpu","microsoft/Florence-2-base","0.6","false","12","1","3488","244","14.76","418.83","54.49","14.64","502.75","922.04",,"สควอ","6","0.6"
"65a1fe1b-2b80-4773-8ff8-15df6c1e6358","https://youtu.be/dTqLoAElJXQ?si=Qv-JzRmbGMr4VD6i","DONE","100","2026-01-09 12:44:55.372","2026-01-09 12:48:10.443","/app/outputs/6/65a1fe1b-2b80-4773-8ff8-15df6c1e6358/transcription.txt","/app/outputs/6/65a1fe1b-2b80-4773-8ff8-15df6c1e6358/dropdown_list.txt","/app/outputs/6/65a1fe1b-2b80-4773-8ff8-15df6c1e6358/summary.txt","/app/outputs/6/65a1fe1b-2b80-4773-8ff8-15df6c1e6358/scene_facts.json","large-v3-turbo","cpu","cpu","microsoft/Florence-2-base","0.6","false","1","1","1094","378","8.92","143.58","24.74","11.98","189.24","568.75",,"เคล็ดลับการทำแขนกันดี","6","0.6"
